temperature,pressure,mass_ratio,H2S_conv,CS2_conv,naphthalene,p_Xylene,toluene,benzene,H2S,methane
830,15,6.32,0.2506554048939968,0.99977480013512,0.0438,0.0165,0.0963,0.1481,6.3143,94.7302
840,15,6.32,0.2600402057479931,0.9997829154455661,0.0455,0.0171,0.0999,0.1536,6.2854,94.7155
850,15,6.32,0.2695379064618869,0.9997905759162304,0.0471,0.0177,0.1035,0.1592,6.2561,94.7006
860,15,6.32,0.2791485070356786,0.9997977755308393,0.0488,0.0184,0.1072,0.1649,6.2266,94.6856
870,15,6.32,0.28884378250439346,0.9998045538942637,0.0505,0.019,0.111,0.1706,6.1968,94.6704
880,15,6.32,0.2986237328680317,0.9998109640831758,0.0522,0.0197,0.1147,0.1764,6.1667,94.6551
890,15,6.32,0.3084742456441059,0.9998170006404978,0.0539,0.0203,0.1185,0.1823,6.1363,94.6396
900,15,6.32,0.31840943331510346,0.9998227107525929,0.0557,0.021,0.1223,0.1881,6.1057,94.6241
910,15,6.32,0.32841518339853704,0.9998281196287384,0.0574,0.0216,0.1262,0.194,6.0749,94.6084
920,15,6.32,0.33847738341191946,0.9998332221480988,0.0592,0.0223,0.13,0.2,6.044,94.5926
930,15,6.32,0.3485960333552507,0.9998380697919197,0.0609,0.0229,0.1339,0.206,6.0128,94.5768
940,15,6.32,0.35875702074604365,0.9998426435877262,0.0627,0.0236,0.1378,0.212,5.9816,94.5609
950,15,6.32,0.36894623310181107,0.9998470012239902,0.0645,0.0243,0.1417,0.218,5.9502,94.5449
960,15,6.32,0.37917778290504,0.9998511240136966,0.0663,0.025,0.1457,0.224,5.9187,94.5288
970,15,6.32,0.38943755767324345,0.9998550409509314,0.0681,0.0256,0.1496,0.2301,5.8871,94.5128
980,15,6.32,0.39969733244144673,0.9998587670362262,0.0699,0.0263,0.1535,0.2362,5.8555,94.4967
990,15,6.32,0.4099853321746247,0.9998623063683305,0.0717,0.027,0.1575,0.2422,5.8239,94.4806
1000,15,6.32,0.42025921942531524,0.9998656816655473,0.0735,0.0277,0.1614,0.2483,5.7922,94.4645
1010,15,6.32,0.4305472191584931,0.999868886849351,0.0753,0.0283,0.1654,0.2544,5.7606,94.4484
1020,15,6.32,0.44082110640918365,0.9998719426302984,0.0771,0.029,0.1693,0.2604,5.729,94.4323
1030,15,6.32,0.45106676869489987,0.999874851386021,0.0789,0.0297,0.1733,0.2665,5.6974,94.4162
1040,15,6.32,0.4613124309806161,0.9998776309348997,0.0807,0.0304,0.1772,0.2726,5.6659,94.4001
1050,15,6.32,0.47151575581887056,0.9998802753666567,0.0824,0.031,0.1811,0.2786,5.6345,94.3842
1060,15,6.32,0.4816767432096635,0.9998828079221844,0.0842,0.0317,0.185,0.2846,5.6032,94.3682
1070,15,6.32,0.49180950563548204,0.9998852157943067,0.086,0.0324,0.1889,0.2906,5.572,94.3524
1080,15,6.32,0.5018858181313517,0.9998875267124058,0.0878,0.033,0.1928,0.2965,5.541,94.3366
1090,15,6.32,0.5119056806972724,0.9998897281799636,0.0895,0.0337,0.1967,0.3025,5.5101,94.3208
1100,15,6.32,0.5218690933332444,0.9998918334234722,0.0912,0.0343,0.2005,0.3083,5.4794,94.3052
1110,15,6.32,0.5317760560392675,0.9998938485218407,0.093,0.035,0.2043,0.3142,5.449,94.2897
1120,15,6.32,0.5416124563328545,0.9998957736203034,0.0947,0.0356,0.2081,0.32,5.4187,94.2743
1130,15,6.32,0.5513641817315184,0.9998976196570258,0.0964,0.0363,0.2118,0.3258,5.3887,94.259
1140,15,6.32,0.5610312322352587,0.9998490717915178,0.0981,0.0369,0.2155,0.3315,5.3589,94.2438
1150,15,6.32,0.5706277203265632,0.9998516100311619,0.0998,0.0376,0.2192,0.3371,5.3294,94.2288
1160,15,6.32,0.5801254210404571,0.99985404300866,0.1014,0.0382,0.2229,0.3428,5.3001,94.2139
1170,15,6.32,0.5895243343769406,0.9998563699909033,0.1031,0.0388,0.2265,0.3483,5.2712,94.1992
1180,15,6.32,0.5988244603360136,0.9998585972850678,0.1047,0.0394,0.23,0.3538,5.2425,94.1846
1190,15,6.32,0.608025798917676,0.9998607371646085,0.1063,0.04,0.2336,0.3592,5.2142,94.1702
1200,15,6.32,0.6171142376394408,0.9998627881448956,0.1079,0.0406,0.2371,0.3646,5.1862,94.156
1210,15,6.32,0.6260897765013079,0.9998647552069244,0.1095,0.0412,0.2405,0.3699,5.1586,94.1419
1220,15,6.32,0.6349524155032772,0.9998666429587482,0.111,0.0418,0.2439,0.3751,5.1313,94.128
1230,15,6.32,0.6436880421628617,0.9998684556695605,0.1125,0.0424,0.2473,0.3803,5.1044,94.1143
1240,15,6.32,0.6523107689625486,0.9998701916836138,0.1141,0.0429,0.2506,0.3854,5.0779,94.1008
1250,15,6.32,0.6608064834198503,0.9998718605843157,0.1155,0.0435,0.2538,0.3904,5.0517,94.0875
1260,15,6.32,0.66916107305228,0.999873460435296,0.117,0.044,0.2571,0.3954,5.026,94.0744
1270,15,6.32,0.677388650342325,0.999875,0.1184,0.0446,0.2602,0.4002,5.0007,94.0615
1280,15,6.32,0.6854751028074976,0.9998764720415053,0.1198,0.0451,0.2633,0.405,4.9758,94.0488
1290,15,6.32,0.6934345429302854,0.9998371865841745,0.1212,0.0456,0.2664,0.4097,4.9513,94.0363
1300,15,6.32,0.7012387457457138,0.9998390018112296,0.1226,0.0462,0.2694,0.4143,4.9272,94.0241
1310,15,6.32,0.7089159362187574,0.9998407453119401,0.1239,0.0467,0.2723,0.4188,4.9036,94.0121
1320,15,6.32,0.7164378893844416,0.9998424142142379,0.1253,0.0472,0.2752,0.4233,4.8804,94.0003
1330,15,6.32,0.7238187177252536,0.9998440241762527,0.1266,0.0476,0.2781,0.4276,4.8577,93.9887
1340,15,6.32,0.7310584212411937,0.99984556580827,0.1278,0.0481,0.2808,0.4319,4.8354,93.9774
1350,15,6.32,0.7381428874497742,0.9998470480269196,0.1291,0.0486,0.2836,0.4361,4.8136,93.9663
1360,15,6.32,0.7450862288334826,0.9998484733691947,0.1303,0.049,0.2862,0.4402,4.7923,93.9554
1370,15,6.32,0.7518743329098317,0.9998498385764697,0.1315,0.0495,0.2888,0.4442,4.7714,93.9447
1380,15,6.32,0.7585071996788217,0.9998511572523628,0.1326,0.0499,0.2914,0.4481,4.7509,93.9343
1390,15,6.32,0.7649989416229394,0.9998524148618234,0.1337,0.0503,0.2939,0.452,4.7309,93.9242
1400,15,6.32,0.7713354462596976,0.9998536299765808,0.1349,0.0508,0.2963,0.4557,4.7114,93.9142
1410,15,6.32,0.7775167135890967,0.9998547936254402,0.1359,0.0512,0.2987,0.4594,4.6924,93.9045
1420,15,6.32,0.7835568560936237,0.9998198912142934,0.137,0.0516,0.301,0.4629,4.6738,93.8951
1430,15,6.32,0.7894417612907912,0.9998212306482176,0.138,0.052,0.3033,0.4664,4.6557,93.8859
1440,15,6.32,0.7951714291805995,0.9998225251126965,0.139,0.0523,0.3055,0.4698,4.638,93.8769
1450,15,6.32,0.8007599722455356,0.9998237637023721,0.14,0.0527,0.3076,0.4731,4.6208,93.8681
1460,15,6.32,0.8062073904855995,0.9998249483597661,0.141,0.0531,0.3097,0.4763,4.6041,93.8596
1470,15,6.32,0.8114995714183042,0.9998260930054607,0.1419,0.0534,0.3117,0.4794,4.5878,93.8513
1480,15,6.32,0.8166506275261367,0.9998271869491584,0.1428,0.0537,0.3137,0.4825,4.5719,93.8432
1490,15,6.32,0.821660558809097,0.9998282436192504,0.1437,0.0541,0.3156,0.4854,4.5565,93.8354
1500,15,6.32,0.8265152527846981,0.9998292524673018,0.1445,0.0544,0.3175,0.4883,4.5415,93.8277
1510,15,6.32,0.8312429344179143,0.9998302264778784,0.1453,0.0547,0.3193,0.4911,4.5269,93.8203
1520,15,6.32,0.8358436037087456,0.9998311609373944,0.1461,0.055,0.3211,0.4938,4.5128,93.8131
1530,15,6.32,0.8402890356922174,0.999832051325115,0.1469,0.0553,0.3228,0.4964,4.4991,93.8061
10,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
20,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
30,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
40,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
50,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
60,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
70,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
80,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.1231
90,16,6.32,3.603438617656897e-06,0.0,0.0,0.0,0.0,0.0,7.0859,95.123
